LOSS,MEAN,AVERAGE
71.65632659912109,30.62906289577484,63.956719856262204
282.75510681152343,64.76351911544799,119.96846538543701
316.2083123016357,118.49272136688232,152.25491333007812
2785.7935180664062,272.81136016845704,389.5209075927734
2906.3795275878906,959.5603311157226,1262.5492456054687
7977.278077392578,1208.0018377685547,1471.023500366211
19177.735061035157,2069.9475732421874,2449.5633129882813
384365.280703125,2108.0153033447264,2526.923989868164
57673.376860351564,2015.0660803222656,2669.9283837890625
145590.789296875,4723.15368347168,6412.737673339844
2.594604967832565,6.555680324602872,12.660338147878647
2.220909687280655,7.414574129730463,14.015162786245346
1.789846255481243,7.81069842889905,11.459050290584564
1.4569689440727234,6.172643633335829,8.909653661251069
1.0190317991375923,22.774847741293488,31.450722645521164
0.9427635678648949,21.754493955373764,27.764215356707574
1.2571881937980651,39.52519328027964,52.97015383243561
1.5568531554937364,34.804850665032866,44.70053375780582
1.3236597853899001,28.543161123543978,37.204412133693694
2.553055874109268,80.46870498657226,123.32632793426514
8.143018292188644,326.845458984375,387.73239349365235
10.436565341949462,464.4522183227539,508.4530804443359
13.713509447574616,645.0043161010742,702.7798510742188
14.123206598758697,696.4967575073242,719.5022640991211
16.445077028274536,697.4368450927734,722.3975915527344
15.520230864286424,724.5305981445313,742.8356005859375
15.808393156528473,827.8468151855469,849.8844702148438
14.550547564029694,852.015654296875,857.8412835693359
16.54686118006706,712.8747528076171,740.1698406982422
19.257569350004196,875.8114886474609,931.598427734375
17.305980060100556,886.722421875,987.08833984375
18.530375690460204,1070.9635681152345,1498.1954058837891
22.28248441696167,1166.4266174316406,1265.477784423828
25.901204342842103,1217.0492419433594,1233.1918109130859
22.755457253456115,1306.5425134277343,1505.866632080078
23.739383339881897,1300.8309069824218,1373.6558581542968
30.094835929870605,1425.7202905273436,1515.362576904297
39.22984620571137,1895.439287109375,1970.2296362304687
46.192266340255735,2070.486075439453,2131.0434533691405
42.988699049949645,1954.1560510253905,1972.5500354003907
43.681179575920105,1972.174776611328,2010.0174060058594
35.75793342590332,1894.8121545410156,1936.0755773925782
41.011292169094084,2243.6246813964844,2280.9481787109376
33.34059277057648,2310.1822009277344,2355.875447998047
36.68581218719483,2021.777784423828,2124.3055725097656
33.766982774734494,1779.839775390625,1834.0682666015625
28.712119274139404,2013.9497924804687,2042.2276440429687
33.32023552894592,1661.85962890625,1692.4316918945312
33.09825001955032,1755.4882666015626,1866.522802734375
35.037666015625,1967.3068225097657,1986.6595373535156
37.076390879154204,2111.4332299804687,2131.0716186523437
31.310557651519776,1769.8389404296875,1810.7880407714845
